房源名称,房源id,经度,纬度,所在省份,所在城市,主城市,下辖区,楼盘id,成交日期,成交价格（万）,成交均价（元/平）,挂牌价格（万）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）
高兴花园,107101754775,121.409033,31.117302,上海,上海,闵行区,春申,5011000014981,2019.09.18,258,69542,265,1室1厅1厨1卫,高楼层(共6层),37.1㎡,平层,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯四户,70年,无,107101754775,商品房,2019/9/15,普通住宅,暂无数据,非共有,4,0,3,0,1
虹桥花苑,107101543813,121.39481,31.194851,上海,上海,闵行区,金虹桥,5011000017042,2019.09.18,1190,70787,1230,3室2厅1厨2卫,中楼层(共16层),168.11㎡,平层,暂无数据,板楼,南,1905年,精装,钢混结构,,两梯两户,70年,有,107101543813,商品房,2019/7/16,普通住宅,暂无数据,共有,64,1,7,14,1405
紫堤坊,107000756189,121.302818,31.213254,上海,上海,闵行区,华漕,5011000000744,2019.09.18,215,36646,215,1室1厅1厨1卫,中楼层(共6层),58.67㎡,平层,暂无数据,板楼,西南,1905年,毛坯,钢混结构,,一梯三户,70年,无,107000756189,商品房,2017/12/20,普通住宅,暂无数据,非共有,637,1,3,12,1620
金铭福邸,107101242260,121.4176737,31.01631551,上海,上海,闵行区,老闵行,5011000014650,2019.09.18,498,34765,528,3室2厅1厨2卫,高楼层(共6层),143.25㎡,复式,暂无数据,板楼,南,1905年,精装,钢混结构,,一梯两户,未知,无,107101242260,商品房,2019/4/20,普通住宅,暂无数据,共有,152,0,32,49,3323
红旗小区,107101390044,121.4021477,31.01544771,上海,上海,闵行区,老闵行,5011000009405,2019.09.18,104,31392,107,1室1厅1厨1卫,高楼层(共4层),33.13㎡,暂无数据,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯四户,未知,无,107101390044,商品房,2019/6/3,普通住宅,暂无数据,非共有,108,1,11,12,1292
汇秀景苑二街坊,107101702585,121.549408,31.047094,上海,上海,闵行区,浦江,5020026764190620,2019.09.18,217,30551,228,2室1厅1厨1卫,中楼层(共6层),71.03㎡,平层,暂无数据,板楼,南,1905年,精装,钢混结构,,一梯两户,未知,无,107101702585,商品房,2019/8/31,普通住宅,暂无数据,非共有,19,0,10,8,326
龙柏二村,107101739280,121.3687945,31.18806912,上海,上海,闵行区,龙柏,5011000016308,2019.09.18,330,52249,345,2室1厅1厨1卫,中楼层(共6层),63.16㎡,平层,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯两户,未知,无,107101739280,商品房,2019/9/10,普通住宅,暂无数据,共有,9,0,3,3,285
万顺水原墅(公寓),107101591522,121.424834,31.049115,上海,上海,闵行区,颛桥,5011000004651,2019.09.18,171,36399,176.5,1室1厅1厨1卫,中楼层(共12层),46.98㎡,平层,暂无数据,塔楼,南 北,1905年,精装,钢混结构,,两梯十五户,70年,有,107101591522,商品房,2019/7/31,普通住宅,暂无数据,共有,50,1,4,8,998
银桥花园,107101713116,121.4163,31.061615,上海,上海,闵行区,颛桥,5011000013096,2019.09.18,280,34047,285,2室1厅1厨1卫,低楼层(共6层),82.24㎡,平层,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯四户,未知,无,107101713116,商品房,2019/9/3,普通住宅,暂无数据,共有,16,0,5,2,311
合生城邦四街坊,107101738437,121.412023,31.026317,上海,上海,闵行区,老闵行,5017589463167880,2019.09.18,363,39934,368,2室2厅1厨1卫,高楼层(共18层),90.9㎡,平层,暂无数据,板楼,南,1905年,其他,钢混结构,,两梯四户,70年,有,107101738437,商品房,2019/9/10,普通住宅,暂无数据,暂无数据,9,0,4,15,254
高兴花园,107101675658,121.409033,31.117302,上海,上海,闵行区,春申,5011000014981,2019.09.17,321,45845,328,2室1厅1厨1卫,高楼层(共6层),70.02㎡,平层,暂无数据,板楼,南 北,1905年,毛坯,砖混结构,,一梯三户,70年,无,107101675658,商品房,2019/8/23,普通住宅,暂无数据,共有,26,0,36,12,864
紫竹半岛花园,107101434132,121.4749122,31.03420168,上海,上海,闵行区,吴泾,5011000000233,2019.09.17,647,62212,650,2室2厅1厨1卫,高楼层(共15层),104㎡,平层,暂无数据,板楼,南 北,未知,精装,钢混结构,,两梯四户,70年,有,107101434132,商品房,2019/6/16,普通住宅,暂无数据,非共有,94,0,62,22,2213
马桥景城馨苑,107101616719,121.377237,31.02283,上海,上海,闵行区,老闵行,5011102206797,2019.09.17,151,26962,165,1室1厅1厨1卫,低楼层(共18层),55.82㎡,暂无数据,暂无数据,塔楼,南,1905年,其他,钢混结构,,二十梯六户,未知,有,107101616719,动迁安置房,2019/8/7,普通住宅,暂无数据,非共有,42,1,3,17,630
万源新城南区,107101305405,121.393218,31.176859,上海,上海,闵行区,金虹桥,5011000004714,2019.09.17,505,59623,520,2室2厅1厨1卫,低楼层(共6层),84.7㎡,平层,暂无数据,板楼,南,1905年,精装,混合结构,,一梯两户,未知,无,107101305405,商品房,2019/5/10,普通住宅,暂无数据,非共有,131,1,33,86,3564
君莲小区,107101635638,121.4157983,31.08982628,上海,上海,闵行区,颛桥,5011000004001,2019.09.17,339,39956,350,2室1厅1厨1卫,中楼层(共11层),84.72㎡,平层,暂无数据,板楼,南,1905年,精装,框架结构,,一梯三户,未知,有,107101635638,商品房,2019/8/12,普通住宅,暂无数据,共有,36,0,6,14,822
上海星河湾,107100358858,121.415841,31.094617,上海,上海,闵行区,颛桥,5011000011257,2019.09.17,1830,57127,1930,4室2厅2厨4卫,中楼层(共28层),320.34㎡,暂无数据,暂无数据,板楼,南,1905年,精装,钢混结构,,两梯两户,未知,有,107100358858,商品房,2018/6/7,普通住宅,暂无数据,非共有,467,1,57,16,8435
颛卫路135弄,107101185360,121.406086,31.07111694,上海,上海,闵行区,颛桥,5011000019873,2019.09.17,236,38059,245,2室1厅1厨1卫,低楼层(共6层),62.01㎡,平层,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯两户,70年,无,107101185360,商品房,2019/4/3,普通住宅,暂无数据,共有,168,0,14,45,2909
黎安一村,107101756668,121.377155,31.134106,上海,上海,闵行区,莘庄,5011000009594,2019.09.17,260,40072,268,2室1厅1厨1卫,高楼层(共6层),64.76㎡,平层,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯两户,未知,无,107101756668,商品房,2019/9/15,普通住宅,暂无数据,共有,2,0,1,6,198
茂盛城市花园,107101369635,121.368518,31.158899,上海,上海,闵行区,七宝,5011000012355,2019.09.17,538,71734,549,2室1厅1厨1卫,中楼层(共6层),75㎡,平层,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯四户,未知,无,107101369635,商品房,2019/5/28,普通住宅,暂无数据,共有,112,1,118,36,2879
蔷薇新村,107101277938,121.4414399,31.11932663,上海,上海,闵行区,春申,5011000011738,2019.09.16,145,42250,150,1室0厅1厨1卫,高楼层(共6层),34.32㎡,平层,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯四户,未知,无,107101277938,商品房,2019/5/2,普通住宅,暂无数据,共有,138,1,21,23,1606
森安苑,107101741985,121.4281738,31.1246291,上海,上海,闵行区,春申,5011000015539,2019.09.16,287,39369,288,2室1厅0厨1卫,中楼层(共6层),72.9㎡,平层,暂无数据,板楼,南,1905年,精装,钢混结构,,一梯两户,未知,无,107101741985,商品房,2019/9/11,普通住宅,暂无数据,共有,6,1,7,14,362
欣佳宝邸,107101751223,121.545778,31.050923,上海,上海,闵行区,浦江,5011000009873,2019.09.16,178,31163,180,1室1厅0厨1卫,高楼层(共14层),57.12㎡,暂无数据,暂无数据,板楼,南,1905年,其他,钢混结构,,一梯三户,未知,有,107101751223,动迁安置房,2019/9/14,普通住宅,暂无数据,非共有,3,0,4,4,87
中城绿苑,107100927784,121.408041,31.118925,上海,上海,闵行区,春申,5011000015203,2019.09.16,713,63993,721,3室2厅1厨2卫,中楼层(共14层),111.42㎡,平层,111.42㎡,板楼,南,1905年,精装,钢混结构,,一梯两户,未知,有,107100927784,商品房,2018/12/30,普通住宅,暂无数据,共有,260,1,43,46,6309
浦江宝邸,107101590507,121.547904,31.067516,上海,上海,闵行区,浦江,5011000009006,2019.09.16,225,29408,230,2室1厅1厨1卫,中楼层(共18层),76.51㎡,平层,暂无数据,板楼,南,1905年,毛坯,钢混结构,,一梯四户,未知,有,107101590507,动迁安置房,2019/7/30,普通住宅,暂无数据,非共有,49,1,11,10,560
华宝花园,107101238331,121.361636,31.149497,上海,上海,闵行区,七宝,5011000013418,2019.09.16,477,52813,500,2室2厅1厨1卫,中楼层(共6层),90.32㎡,平层,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯两户,未知,无,107101238331,商品房,2019/4/19,普通住宅,暂无数据,共有,151,0,22,0,6
金汇花园一街坊,107101153794,121.378077,31.188926,上海,上海,闵行区,金汇,5011000016239,2019.09.16,476,56080,495,2室2厅1厨1卫,高楼层(共6层),84.88㎡,平层,84.88㎡,板楼,南,1905年,精装,钢混结构,,一梯两户,70年,无,107101153794,商品房,2019/3/25,普通住宅,暂无数据,共有,176,1,70,110,4408
三佳花苑,107101694493,121.367676,31.161756,上海,上海,闵行区,七宝,5011000014701,2019.09.16,362,71912,380,1室1厅1厨1卫,高楼层(共6层),50.34㎡,暂无数据,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯两户,未知,无,107101694493,商品房,2019/8/29,普通住宅,暂无数据,共有,19,0,1,7,305
大虹桥国际,107101580669,121.367137,31.129684,上海,上海,闵行区,莘庄,5011000019917,2019.09.16,357,50797,379,2室1厅1厨1卫,中楼层(共23层),70.28㎡,平层,暂无数据,板楼,南,1905年,精装,钢混结构,,两梯六户,70年,有,107101580669,商品房,2019/7/27,普通住宅,暂无数据,非共有,51,1,19,68,1200
康健丽都,107101721962,121.411923,31.153593,上海,上海,闵行区,古美,5011000016530,2019.09.16,685,75466,700,2室2厅1厨1卫,高楼层(共14层),90.77㎡,暂无数据,暂无数据,板楼,南,1905年,简装,钢混结构,,一梯两户,70年,有,107101721962,商品房,2019/9/5,普通住宅,暂无数据,共有,11,0,10,0,暂无数据
景舒苑六村,107101649222,121.4975751,31.08083984,上海,上海,闵行区,浦江,5011000003859,2019.09.16,374,32150,380,3室2厅1厨2卫,高楼层(共6层),116.33㎡,平层,暂无数据,板楼,南,1905年,毛坯,钢混结构,,一梯两户,未知,无,107101649222,动迁安置房,2019/8/16,普通住宅,暂无数据,非共有,31,1,11,21,709
西班牙名园,107101298836,121.410718,31.135239,上海,上海,闵行区,梅陇,5011000017710,2019.09.16,505,72071,518,1室2厅1厨1卫,低楼层(共17层),70.07㎡,平层,暂无数据,板楼,南,1905年,精装,钢混结构,,两梯三户,未知,有,107101298836,商品房,2019/5/8,普通住宅,暂无数据,共有,131,1,22,53,3137
茂盛城市花园,107101609717,121.368518,31.158899,上海,上海,闵行区,七宝,5011000012355,2019.09.16,491,72957,507,2室1厅1厨1卫,中楼层(共6层),67.3㎡,平层,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯两户,未知,无,107101609717,商品房,2019/8/4,普通住宅,暂无数据,共有,43,1,11,16,1023
金汇花园一街坊,107101732880,121.378077,31.188926,上海,上海,闵行区,金汇,5011000016239,2019.09.16,458,56128,478,2室2厅1厨1卫,低楼层(共6层),81.6㎡,平层,暂无数据,板楼,南,1905年,精装,钢混结构,,一梯三户,70年,无,107101732880,商品房,2019/9/8,普通住宅,暂无数据,非共有,8,0,17,15,258
金铭新水岸,107101654239,121.4009246,31.10509478,上海,上海,闵行区,莘庄,5011000003572,2019.09.16,485,50967,495,2室2厅1厨1卫,低楼层(共6层),95.16㎡,平层,暂无数据,板楼,南 北,1905年,精装,钢混结构,,一梯两户,未知,无,107101654239,商品房,2019/8/17,普通住宅,暂无数据,非共有,30,1,9,14,659
浦江世博家园七街坊,107101753764,121.5119174,31.08352386,上海,上海,闵行区,浦江,5011000002059,2019.09.16,365,44720,370,2室2厅1厨1卫,中楼层(共5层),81.62㎡,暂无数据,暂无数据,板楼,南,1905年,其他,钢混结构,,一梯两户,未知,无,107101753764,动迁安置房,2019/9/15,普通住宅,暂无数据,暂无数据,2,1,6,0,暂无数据
金丰小区,107101648893,121.289974,31.212362,上海,上海,闵行区,华漕,5011000014308,2019.09.16,228,33723,235,2室1厅1厨1卫,高楼层(共6层),67.61㎡,平层,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯两户,未知,无,107101648893,商品房,2019/8/16,普通住宅,暂无数据,共有,31,0,16,29,1108
紫薇新村,107101605968,121.303395,31.209206,上海,上海,闵行区,华漕,5011000014000,2019.09.16,228,34143,230,2室1厅1厨1卫,高楼层(共6层),66.72㎡,平层,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯两户,未知,无,107101605968,商品房,2019/8/3,普通住宅,暂无数据,非共有,44,1,10,12,1109
莘城苑,107101338513,121.367827,31.120942,上海,上海,闵行区,莘庄,5011000013866,2019.09.16,282,34551,290,2室2厅1厨1卫,高楼层(共6层),81.62㎡,平层,暂无数据,板楼,南,1905年,精装,钢混结构,,一梯两户,70年,无,107101338513,商品房,2019/5/20,普通住宅,暂无数据,共有,119,0,36,154,2449
银都新村(1至7区),107101620770,121.4027955,31.10103285,上海,上海,闵行区,颛桥,5011102206965,2019.09.16,270,44161,285,3室1厅1厨1卫,低楼层(共6层),61.14㎡,暂无数据,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯四户,未知,无,107101620770,商品房,2019/8/8,普通住宅,暂无数据,非共有,39,1,12,15,830
金都花好悦园,107101601032,121.404098,31.096859,上海,上海,闵行区,颛桥,5011000012757,2019.09.16,376,42947,386,3室2厅1厨1卫,高楼层(共6层),87.55㎡,平层,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯两户,未知,无,107101601032,商品房,2019/8/2,普通住宅,暂无数据,共有,45,1,38,111,2019
龙吴路5599弄,107101615896,121.4721238,31.04489177,上海,上海,闵行区,吴泾,5011000001099,2019.09.16,230,28622,249,2室1厅1厨1卫,中楼层(共6层),80.36㎡,暂无数据,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯两户,未知,无,107101615896,商品房,2019/8/7,普通住宅,暂无数据,非共有,40,0,7,6,737
富林苑(二期),107001983123,121.370008,31.124062,上海,上海,闵行区,莘庄,5011000013566,2019.09.15,210,54574,216,1室1厅1厨1卫,高楼层(共10层),38.48㎡,平层,暂无数据,板楼,南,1905年,精装,钢混结构,,一梯三户,未知,有,107001983123,商品房,2017/8/26,普通住宅,暂无数据,非共有,750,1,4,1,432
江南星城(二期),107101504657,121.391903,31.141732,上海,上海,闵行区,古美,5020042066931340,2019.09.15,570,66126,585,2室2厅1厨1卫,高楼层(共6层),86.2㎡,复式,暂无数据,板楼,南,1905年,精装,钢混结构,,一梯两户,未知,无,107101504657,商品房,2019/7/6,普通住宅,暂无数据,共有,72,1,55,89,2303
朱行三村,107101597220,121.4267352,31.12752446,上海,上海,闵行区,梅陇,5011000008689,2019.09.15,215,40961,230,2室1厅1厨1卫,中楼层(共6层),52.49㎡,平层,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯四户,未知,无,107101597220,商品房,2019/8/1,普通住宅,暂无数据,非共有,46,1,3,1,803
常兴家园,107101751591,121.406638,31.117498,上海,上海,闵行区,春申,5011000013572,2019.09.15,332,55123,335,2室1厅1厨1卫,低楼层(共6层),60.23㎡,暂无数据,60.23㎡,板楼,南,1905年,其他,钢混结构,,一梯两户,未知,无,107101751591,商品房,2019/9/14,普通住宅,暂无数据,共有,2,1,7,3,127
紫藤一村,107101473768,121.415064,31.139595,上海,上海,闵行区,梅陇,5011000013621,2019.09.15,266,46245,280,2室1厅1厨1卫,高楼层(共5层),57.52㎡,平层,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯两户,未知,无,107101473768,商品房,2019/6/27,普通住宅,暂无数据,非共有,80,1,3,18,1336
嘉丰新苑,107100110344,121.363098,31.176847,上海,上海,闵行区,航华,5011000013863,2019.09.15,488,49119,515,2室2厅1厨1卫,中楼层(共6层),99.25㎡,暂无数据,暂无数据,板楼,南,1905年,简装,钢混结构,,一梯两户,未知,无,107100110344,商品房,2018/3/17,普通住宅,暂无数据,共有,547,1,42,54,10932
红旗五村,107101671308,121.4093154,31.01766634,上海,上海,闵行区,老闵行,5011000000766,2019.09.15,149,28055,156,2室1厅1厨1卫,高楼层(共5层),53.11㎡,平层,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯两户,未知,无,107101671308,商品房,2019/8/22,普通住宅,暂无数据,非共有,25,1,29,124,2796
绿地新干线,107101608152,121.425919,31.035857,上海,上海,闵行区,颛桥,5011000012770,2019.09.15,316,37750,324,2室2厅1厨1卫,低楼层(共6层),83.71㎡,平层,暂无数据,板楼,南,1905年,精装,钢混结构,,一梯两户,未知,无,107101608152,商品房,2019/8/4,普通住宅,暂无数据,共有,43,1,22,52,1367
通海一小区,107101327570,121.476963,31.04867703,上海,上海,闵行区,吴泾,5011000007100,2019.09.15,182,26797,188,2室1厅1厨1卫,高楼层(共6层),67.92㎡,暂无数据,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯四户,未知,无,107101327570,商品房,2019/5/17,普通住宅,暂无数据,共有,122,1,22,30,1559
君莲宏润丽苑,107101272327,121.421048,31.089068,上海,上海,闵行区,颛桥,5011000004821,2019.09.15,306,35992,317,2室2厅1厨1卫,低楼层(共18层),85.02㎡,平层,暂无数据,板楼,南 北,1905年,精装,钢混结构,,两梯三户,70年,有,107101272327,动迁安置房,2019/4/30,普通住宅,暂无数据,共有,139,1,54,85,3673
贵峰苑,107101431768,121.403252,31.088754,上海,上海,闵行区,颛桥,5011000014542,2019.09.15,392,41164,415,3室2厅1厨1卫,低楼层(共6层),95.23㎡,平层,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯两户,未知,无,107101431768,商品房,2019/6/15,普通住宅,暂无数据,共有,93,1,55,33,2228
景舒苑一村,107101377965,121.5017329,31.08146697,上海,上海,闵行区,浦江,5011000006281,2019.09.15,320,34610,325,2室2厅1厨1卫,高楼层(共6层),92.46㎡,暂无数据,暂无数据,板楼,南,1905年,简装,钢混结构,,一梯三户,未知,无,107101377965,动迁安置房,2019/5/31,普通住宅,暂无数据,非共有,108,1,9,18,1863
水清一村,107001117165,121.387108,31.121603,上海,上海,闵行区,莘庄,5011000013042,2019.09.15,268,45278,278,2室1厅1厨1卫,高楼层(共6层),59.19㎡,平层,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯四户,未知,无,107001117165,商品房,2016/11/1,普通住宅,暂无数据,非共有,1048,1,39,391,14484
南国花园,107101210918,121.352378,31.165783,上海,上海,闵行区,七宝,5011000010007,2019.09.15,575,42480,590,3室2厅1厨2卫,高楼层(共7层),135.36㎡,平层,暂无数据,板楼,南,1905年,简装,钢混结构,,一梯四户,70年,有,107101210918,商品房,2019/4/11,普通住宅,暂无数据,非共有,158,1,54,38,3401
万科朗润园,107000578093,121.346847,31.159779,上海,上海,闵行区,七宝,5011000013701,2019.09.15,578,61014,649,2室2厅1厨1卫,低楼层(共6层),94.71㎡,平层,暂无数据,板楼,南,1905年,精装,钢混结构,,一梯两户,未知,无,107000578093,商品房,2017/6/24,普通住宅,暂无数据,共有,814,1,71,45,2428
流晶逸彩,107101226406,121.3889,31.191081,上海,上海,闵行区,金虹桥,5011000017647,2019.09.15,520,53487,550,2室2厅1厨1卫,低楼层(共6层),97.22㎡,平层,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯两户,未知,无,107101226406,商品房,2019/4/15,普通住宅,暂无数据,共有,154,1,13,52,3028
惠明苑,107101599431,121.353312,31.151697,上海,上海,闵行区,七宝,5011000010595,2019.09.15,464,48940,470,2室2厅1厨1卫,低楼层(共13层),94.81㎡,平层,暂无数据,板楼,南,1905年,精装,钢混结构,,一梯两户,未知,有,107101599431,商品房,2019/8/2,普通住宅,暂无数据,非共有,45,1,6,19,1276
美丽家园,107101676060,121.386548,31.100043,上海,上海,闵行区,莘庄,5011000014662,2019.09.15,335,38805,348,3室1厅1厨1卫,低楼层(共6层),86.33㎡,平层,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯两户,未知,无,107101676060,商品房,2019/8/23,普通住宅,暂无数据,共有,23,0,20,14,492
水清年华花园,107101635367,121.349303,31.156255,上海,上海,闵行区,七宝,5011000012925,2019.09.15,307,53290,330,1室1厅1厨1卫,中楼层(共11层),57.61㎡,暂无数据,57.61㎡,板楼,南,1905年,精装,钢混结构,,一梯三户,未知,有,107101635367,商品房,2019/8/12,普通住宅,暂无数据,非共有,35,1,12,40,873
梅陇一村,107101753560,121.4191609,31.14417728,上海,上海,闵行区,梅陇,5011000015394,2019.09.15,340,43792,360,2室1厅1厨1卫,低楼层(共6层),77.64㎡,平层,暂无数据,板楼,南,1905年,其他,砖混结构,,一梯一户,未知,无,107101753560,商品房,2019/9/14,普通住宅,暂无数据,暂无数据,1,0,0,0,暂无数据
梅陇二村,107101386967,121.4176603,31.13900687,上海,上海,闵行区,梅陇,5011000012113,2019.09.15,167,42290,180,1室1厅1厨1卫,高楼层(共6层),39.49㎡,平层,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯四户,未知,无,107101386967,商品房,2019/6/2,普通住宅,暂无数据,共有,105,1,4,36,1941
好世鹿鸣苑,107101738876,121.390902,31.111342,上海,上海,闵行区,莘庄,5011000015858,2019.09.15,947,69988,1030,3室2厅1厨2卫,中楼层(共17层),135.31㎡,暂无数据,暂无数据,板楼,南,1905年,其他,钢混结构,,一梯两户,未知,有,107101738876,商品房,2019/9/10,普通住宅,暂无数据,暂无数据,6,0,5,12,153
平吉二村,107101712536,121.389194,31.149045,上海,上海,闵行区,古美,5011000011033,2019.09.15,390,46484,409,3室1厅1厨1卫,低楼层(共6层),83.9㎡,平层,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯两户,未知,无,107101712536,商品房,2019/9/2,普通住宅,暂无数据,非共有,13,0,16,22,676
黎安二村,107101741195,121.385457,31.131859,上海,上海,闵行区,莘庄,5011000014466,2019.09.15,183,44875,188,1室1厅1厨1卫,低楼层(共6层),40.78㎡,暂无数据,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯两户,未知,无,107101741195,商品房,2019/9/11,普通住宅,暂无数据,非共有,4,0,0,3,227
晶杰苑,107101750772,121.401074,31.138934,上海,上海,闵行区,古美,5011000010939,2019.09.15,605,70860,615,2室2厅1厨1卫,中楼层(共11层),85.38㎡,平层,暂无数据,板楼,南,1905年,其他,钢混结构,,两梯三户,未知,有,107101750772,动迁安置房,2019/9/14,普通住宅,暂无数据,暂无数据,1,0,3,2,15
银兆公寓,107101488423,121.445963,31.112631,上海,上海,闵行区,春申,5011000001062,2019.09.14,340,38237,360,2室2厅1厨1卫,高楼层(共6层),88.92㎡,平层,88.92㎡,板楼,南,1905年,毛坯,钢混结构,,一梯两户,未知,无,107101488423,动迁安置房,2019/7/1,普通住宅,暂无数据,非共有,76,1,36,17,1978
万源城尚郡,107101591266,121.404264,31.149729,上海,上海,闵行区,古美,5011000011329,2019.09.14,707,80534,730,3室2厅1厨1卫,中楼层(共30层),87.79㎡,平层,暂无数据,板楼,南,1905年,精装,钢混结构,,两梯四户,70年,有,107101591266,商品房,2019/7/30,普通住宅,暂无数据,非共有,47,0,5,34,1565
好世凤凰城,107101649899,121.398349,31.096778,上海,上海,闵行区,颛桥,5011000015536,2019.09.14,642,47311,660,3室2厅1厨2卫,低楼层(共4层),135.7㎡,平层,暂无数据,板楼,南,1905年,简装,钢混结构,,一梯两户,未知,无,107101649899,商品房,2019/8/16,普通住宅,暂无数据,非共有,30,1,6,15,522
景江苑C区,107101219109,121.499473,31.083768,上海,上海,闵行区,浦江,5020026814524160,2019.09.14,313,34449,315,2室2厅1厨1卫,高楼层(共6层),90.86㎡,跃层,暂无数据,板楼,南,1905年,简装,钢混结构,,一梯三户,未知,无,107101219109,商品房,2019/4/13,普通住宅,暂无数据,共有,155,1,62,118,3304
虹梅新苑,107101439613,121.4672219,31.04843604,上海,上海,闵行区,吴泾,5011000013624,2019.09.14,315,34199,315,2室2厅1厨1卫,低楼层(共5层),92.11㎡,平层,暂无数据,板楼,南 北,1905年,精装,钢混结构,,一梯两户,未知,无,107101439613,动迁安置房,2019/6/17,普通住宅,暂无数据,共有,90,1,32,43,2219
水清嘉苑,107101666380,121.3862327,31.12309705,上海,上海,闵行区,莘庄,5011000013391,2019.09.14,506,50870,540,2室2厅1厨1卫,中楼层(共17层),99.47㎡,暂无数据,暂无数据,板楼,南,1905年,简装,钢混结构,,两梯三户,未知,有,107101666380,商品房,2019/8/21,普通住宅,暂无数据,非共有,25,0,2,8,564
金虹桥井亭苑,107101662415,121.377732,31.173195,上海,上海,闵行区,金汇,5011000011230,2019.09.14,505,58845,510,2室1厅1厨1卫,低楼层(共6层),85.82㎡,暂无数据,暂无数据,板楼,南,1905年,精装,钢混结构,,一梯两户,未知,无,107101662415,商品房,2019/8/20,普通住宅,暂无数据,共有,26,1,44,38,925
金塔新村,107101408480,121.4156053,31.04443093,上海,上海,闵行区,颛桥,5011000002755,2019.09.14,287,24126,300,3室2厅1厨1卫,高楼层(共6层),118.96㎡,平层,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯两户,70年,无,107101408480,商品房,2019/6/9,普通住宅,暂无数据,非共有,98,0,4,32,1295
骏苑(二期),107101333406,121.424684,31.044116,上海,上海,闵行区,颛桥,5011000001549,2019.09.14,197,32370,205,1室1厅1厨1卫,低楼层(共11层),60.86㎡,平层,暂无数据,板楼,南,1905年,毛坯,钢混结构,,一梯四户,未知,有,107101333406,商品房,2019/5/18,普通住宅,暂无数据,共有,119,1,25,17,2130
银都新村(8至10区),107101483783,121.401935,31.099706,上海,上海,闵行区,颛桥,5011000014843,2019.09.14,245,44930,250,2室1厅1厨1卫,低楼层(共6层),54.53㎡,平层,54㎡,板楼,南,1905年,简装,砖混结构,,一梯两户,70年,无,107101483783,商品房,2019/6/30,普通住宅,暂无数据,非共有,76,1,77,29,2175
万科早城(一期),107101341675,121.493932,31.110766,上海,上海,闵行区,浦江,5011000005174,2019.09.13,102,16816,115,1室1厅1厨1卫,中楼层(共7层),60.66㎡,暂无数据,暂无数据,板楼,南,1905年,其他,钢混结构,,两梯三十四户,50年,有,107101341675,商品房,2019/5/21,商业办公类,暂无数据,暂无数据,116,1,10,16,2057
浦江世博家园十二街坊,107101493210,121.5089418,31.08102386,上海,上海,闵行区,浦江,5011000001860,2019.09.13,422,44194,430,2室2厅1厨1卫,中楼层(共11层),95.49㎡,平层,暂无数据,板楼,南 北,1905年,精装,钢混结构,,一梯三户,未知,有,107101493210,动迁安置房,2019/7/3,普通住宅,暂无数据,共有,73,1,27,40,1245
金硕河畔景园东区,107101624337,121.543699,31.061828,上海,上海,闵行区,浦江,5011000008851,2019.09.13,227,31509,230,2室2厅1厨1卫,中楼层(共6层),71.98㎡,平层,暂无数据,板楼,南 北,1905年,简装,钢混结构,,一梯两户,未知,无,107101624337,动迁安置房,2019/8/9,普通住宅,暂无数据,共有,36,0,50,34,1155
普乐三村,107101306915,121.4315016,31.12394982,上海,上海,闵行区,春申,5011000012848,2019.09.13,284,36240,293,3室1厅1厨1卫,高楼层(共6层),78.23㎡,暂无数据,暂无数据,板楼,南,1905年,简装,砖混结构,,一梯两户,未知,无,107101306915,商品房,2019/5/10,普通住宅,暂无数据,非共有,127,1,1,1,269
